,k,n,i,perplexity,type
0,10,2,0,22.630229949951172,train
1,10,2,0,22.457719802856445,test
2,10,2,0,22.701412200927734,valid
3,10,2,1,21.321273803710938,train
4,10,2,1,21.10971450805664,test
5,10,2,1,21.54204559326172,valid
6,10,2,2,7.4904255867004395,train
7,10,2,2,7.438015460968018,test
8,10,2,2,7.550589561462402,valid
9,10,2,3,7.043947219848633,train
10,10,2,3,6.993701457977295,test
11,10,2,3,7.098073959350586,valid
12,10,2,4,6.754797458648682,train
13,10,2,4,6.711642742156982,test
14,10,2,4,6.804119110107422,valid
15,10,2,5,6.697587013244629,train
16,10,2,5,6.6576619148254395,test
17,10,2,5,6.746435165405273,valid
18,10,2,6,6.70510196685791,train
19,10,2,6,6.65955924987793,test
20,10,2,6,6.755648136138916,valid
21,10,2,7,6.726820945739746,train
22,10,2,7,6.691775321960449,test
23,10,2,7,6.767122745513916,valid
24,10,2,8,6.745456218719482,train
25,10,2,8,6.704413890838623,test
26,10,2,8,6.793365955352783,valid
27,10,2,9,6.724413871765137,train
28,10,2,9,6.684288024902344,test
29,10,2,9,6.767066955566406,valid
30,10,2,10,6.710572719573975,train
31,10,2,10,6.673191070556641,test
32,10,2,10,6.758291244506836,valid
33,10,2,11,6.721070766448975,train
34,10,2,11,6.674158573150635,test
35,10,2,11,6.777560234069824,valid
36,25,2,0,23.912242889404297,train
37,25,2,0,23.955236434936523,test
38,25,2,0,23.972837448120117,valid
39,25,2,1,25.30312156677246,train
40,25,2,1,25.2919921875,test
41,25,2,1,25.392513275146484,valid
42,25,2,2,9.209101676940918,train
43,25,2,2,9.149246215820312,test
44,25,2,2,9.249320983886719,valid
45,25,2,3,8.649361610412598,train
46,25,2,3,8.595779418945312,test
47,25,2,3,8.695565223693848,valid
48,25,2,4,7.947423934936523,train
49,25,2,4,7.9183125495910645,test
50,25,2,4,8.007216453552246,valid
51,25,2,5,7.887024879455566,train
52,25,2,5,7.86480188369751,test
53,25,2,5,7.953734874725342,valid
54,25,2,6,7.885367393493652,train
55,25,2,6,7.8547539710998535,test
56,25,2,6,7.94580078125,valid
57,25,2,7,7.905308246612549,train
58,25,2,7,7.881138324737549,test
59,25,2,7,7.958981037139893,valid
60,25,2,8,7.926815032958984,train
61,25,2,8,7.897699356079102,test
62,25,2,8,7.989673137664795,valid
63,25,2,9,7.8808088302612305,train
64,25,2,9,7.852579593658447,test
65,25,2,9,7.934520244598389,valid
66,25,2,10,7.897066116333008,train
67,25,2,10,7.871732711791992,test
68,25,2,10,7.946657180786133,valid
69,25,2,11,7.9146037101745605,train
70,25,2,11,7.889028549194336,test
71,25,2,11,7.972440242767334,valid
72,50,2,0,32.738677978515625,train
73,50,2,0,32.775718688964844,test
74,50,2,0,32.73657989501953,valid
75,50,2,1,31.534015655517578,train
76,50,2,1,31.7659969329834,test
77,50,2,1,31.897180557250977,valid
78,50,2,2,11.12030029296875,train
79,50,2,2,10.927596092224121,test
80,50,2,2,11.204995155334473,valid
81,50,2,3,10.031105041503906,train
82,50,2,3,9.883243560791016,test
83,50,2,3,10.110150337219238,valid
84,50,2,4,9.112576484680176,train
85,50,2,4,9.021952629089355,test
86,50,2,4,9.195893287658691,valid
87,50,2,5,9.0342435836792,train
88,50,2,5,8.947561264038086,test
89,50,2,5,9.117859840393066,valid
90,50,2,6,9.042610168457031,train
91,50,2,6,8.963706016540527,test
92,50,2,6,9.119577407836914,valid
93,50,2,7,9.075719833374023,train
94,50,2,7,8.993362426757812,test
95,50,2,7,9.184403419494629,valid
96,50,2,8,9.181585311889648,train
97,50,2,8,9.088385581970215,test
98,50,2,8,9.254658699035645,valid
99,50,2,9,9.044137001037598,train
100,50,2,9,8.95649528503418,test
101,50,2,9,9.124024391174316,valid
102,50,2,10,9.055983543395996,train
103,50,2,10,8.95206356048584,test
104,50,2,10,9.123886108398438,valid
105,50,2,11,9.078166007995605,train
106,50,2,11,8.999109268188477,test
107,50,2,11,9.13894271850586,valid
108,100,2,0,42.5594596862793,train
109,100,2,0,42.255191802978516,test
110,100,2,0,42.357547760009766,valid
111,100,2,1,43.21504211425781,train
112,100,2,1,43.234188079833984,test
113,100,2,1,43.02072525024414,valid
114,100,2,2,16.017763137817383,train
115,100,2,2,15.72320556640625,test
116,100,2,2,15.964293479919434,valid
117,100,2,3,14.646331787109375,train
118,100,2,3,14.359976768493652,test
119,100,2,3,14.5769624710083,valid
120,100,2,4,10.728938102722168,train
121,100,2,4,10.671464920043945,test
122,100,2,4,10.823206901550293,valid
123,100,2,5,10.668054580688477,train
124,100,2,5,10.626532554626465,test
125,100,2,5,10.75121021270752,valid
126,100,2,6,10.691774368286133,train
127,100,2,6,10.649304389953613,test
128,100,2,6,10.812639236450195,valid
129,100,2,7,10.78123950958252,train
130,100,2,7,10.752352714538574,test
131,100,2,7,10.901083946228027,valid
132,100,2,8,10.7562894821167,train
133,100,2,8,10.695540428161621,test
134,100,2,8,10.841448783874512,valid
135,100,2,9,10.677556037902832,train
136,100,2,9,10.63332748413086,test
137,100,2,9,10.754012107849121,valid
138,100,2,10,10.703730583190918,train
139,100,2,10,10.672106742858887,test
140,100,2,10,10.779433250427246,valid
141,100,2,11,10.774155616760254,train
142,100,2,11,10.761944770812988,test
143,100,2,11,10.873934745788574,valid
144,250,2,0,71.860595703125,train
145,250,2,0,71.5106201171875,test
146,250,2,0,71.398681640625,valid
147,250,2,1,71.6131362915039,train
148,250,2,1,71.11236572265625,test
149,250,2,1,71.45098876953125,valid
150,250,2,2,31.95103645324707,train
151,250,2,2,32.33806610107422,test
152,250,2,2,32.4069709777832,valid
153,250,2,3,23.467973709106445,train
154,250,2,3,23.679372787475586,test
155,250,2,3,23.68878936767578,valid
156,250,2,4,13.29849624633789,train
157,250,2,4,13.725831985473633,test
158,250,2,4,13.882716178894043,valid
159,250,2,5,13.19067096710205,train
160,250,2,5,13.723346710205078,test
161,250,2,5,13.852980613708496,valid
162,250,2,6,13.30994701385498,train
163,250,2,6,13.878780364990234,test
164,250,2,6,14.049125671386719,valid
165,250,2,7,13.49730110168457,train
166,250,2,7,14.312846183776855,test
167,250,2,7,14.477265357971191,valid
168,250,2,8,13.332769393920898,train
169,250,2,8,13.74980640411377,test
170,250,2,8,13.890877723693848,valid
171,250,2,9,13.341438293457031,train
172,250,2,9,13.77221393585205,test
173,250,2,9,13.897683143615723,valid
174,250,2,10,13.314741134643555,train
175,250,2,10,13.847420692443848,test
176,250,2,10,14.01197624206543,valid
177,250,2,11,13.464184761047363,train
178,250,2,11,14.032119750976562,test
179,250,2,11,14.2088623046875,valid
180,500,2,0,112.40753173828125,train
181,500,2,0,112.0549087524414,test
182,500,2,0,112.60491180419922,valid
183,500,2,1,109.98043823242188,train
184,500,2,1,110.22425842285156,test
185,500,2,1,108.76538848876953,valid
186,500,2,2,90.37712097167969,train
187,500,2,2,90.0161361694336,test
188,500,2,2,90.86320495605469,valid
189,500,2,3,39.298126220703125,train
190,500,2,3,40.303409576416016,test
191,500,2,3,40.504310607910156,valid
192,500,2,4,15.277824401855469,train
193,500,2,4,17.741621017456055,test
194,500,2,4,17.704788208007812,valid
195,500,2,5,15.18810749053955,train
196,500,2,5,18.021915435791016,test
197,500,2,5,18.01871681213379,valid
198,500,2,6,15.313939094543457,train
199,500,2,6,18.634052276611328,test
200,500,2,6,18.515607833862305,valid
201,500,2,7,15.6600923538208,train
202,500,2,7,20.0803165435791,test
203,500,2,7,19.83775520324707,valid
204,500,2,8,15.563063621520996,train
205,500,2,8,17.800334930419922,test
206,500,2,8,17.795875549316406,valid
207,500,2,9,15.22976016998291,train
208,500,2,9,17.95833396911621,test
209,500,2,9,17.973339080810547,valid
210,500,2,10,15.369577407836914,train
211,500,2,10,18.387678146362305,test
212,500,2,10,18.29743003845215,valid
213,500,2,11,15.67555046081543,train
214,500,2,11,18.909711837768555,test
215,500,2,11,18.81461524963379,valid
216,1000,2,0,176.4376983642578,train
217,1000,2,0,176.2924346923828,test
