,k,n,i,perplexity,type
0,10,3,0,21.127687454223633,train
1,10,3,0,21.189809799194336,test
2,10,3,0,21.079587936401367,valid
3,10,3,1,21.27040672302246,train
4,10,3,1,21.318174362182617,test
5,10,3,1,21.291240692138672,valid
6,10,3,2,9.024663925170898,train
7,10,3,2,8.91307544708252,test
8,10,3,2,9.099223136901855,valid
9,10,3,3,6.868512153625488,train
10,10,3,3,6.772597789764404,test
11,10,3,3,6.923607349395752,valid
12,10,3,4,4.449179172515869,train
13,10,3,4,4.464959621429443,test
14,10,3,4,4.549057483673096,valid
15,10,3,5,4.431304931640625,train
16,10,3,5,4.450565814971924,test
17,10,3,5,4.53524112701416,valid
18,10,3,6,4.445277214050293,train
19,10,3,6,4.479572772979736,test
20,10,3,6,4.557822227478027,valid
21,10,3,7,4.480288505554199,train
22,10,3,7,4.52353048324585,test
23,10,3,7,4.621844291687012,valid
24,10,3,8,4.464293956756592,train
25,10,3,8,4.476792812347412,test
26,10,3,8,4.56120491027832,valid
27,10,3,9,4.425424575805664,train
28,10,3,9,4.45046329498291,test
29,10,3,9,4.536433219909668,valid
30,10,3,10,4.452549934387207,train
31,10,3,10,4.4774298667907715,test
32,10,3,10,4.563305377960205,valid
33,10,3,11,4.493406772613525,train
34,10,3,11,4.499949932098389,test
35,10,3,11,4.613016605377197,valid
36,25,3,0,25.388309478759766,train
37,25,3,0,25.329504013061523,test
38,25,3,0,25.366601943969727,valid
39,25,3,1,25.528974533081055,train
40,25,3,1,25.553110122680664,test
41,25,3,1,25.56502914428711,valid
42,25,3,2,14.687219619750977,train
43,25,3,2,14.645734786987305,test
44,25,3,2,14.633613586425781,valid
45,25,3,3,8.81697940826416,train
46,25,3,3,8.759542465209961,test
47,25,3,3,8.981087684631348,valid
48,25,3,4,4.9044599533081055,train
49,25,3,4,5.0168280601501465,test
50,25,3,4,5.110080718994141,valid
51,25,3,5,4.789082050323486,train
52,25,3,5,4.932928085327148,test
53,25,3,5,5.026420593261719,valid
54,25,3,6,4.809403419494629,train
55,25,3,6,4.971843242645264,test
56,25,3,6,5.08043098449707,valid
57,25,3,7,4.875553607940674,train
58,25,3,7,5.108691692352295,test
59,25,3,7,5.2431440353393555,valid
60,25,3,8,4.8241400718688965,train
61,25,3,8,4.947118282318115,test
62,25,3,8,5.0401787757873535,valid
63,25,3,9,4.7867937088012695,train
64,25,3,9,4.932959079742432,test
65,25,3,9,5.029374599456787,valid
66,25,3,10,4.819629192352295,train
67,25,3,10,4.972445487976074,test
68,25,3,10,5.0612006187438965,valid
69,25,3,11,4.87162971496582,train
70,25,3,11,5.036554336547852,test
71,25,3,11,5.150251388549805,valid
72,50,3,0,31.791540145874023,train
73,50,3,0,32.00834655761719,test
74,50,3,0,31.78900909423828,valid
75,50,3,1,31.626882553100586,train
76,50,3,1,31.46371078491211,test
77,50,3,1,31.757009506225586,valid
78,50,3,2,21.567899703979492,train
79,50,3,2,21.281234741210938,test
80,50,3,2,21.636871337890625,valid
81,50,3,3,15.953174591064453,train
82,50,3,3,15.740049362182617,test
83,50,3,3,16.038433074951172,valid
84,50,3,4,5.269715785980225,train
85,50,3,4,5.633823394775391,test
86,50,3,4,5.706026554107666,valid
87,50,3,5,5.156866550445557,train
88,50,3,5,5.62482213973999,test
89,50,3,5,5.700001239776611,valid
90,50,3,6,5.212522983551025,train
91,50,3,6,5.728457450866699,test
92,50,3,6,5.80902099609375,valid
93,50,3,7,5.32121467590332,train
94,50,3,7,5.996104717254639,test
95,50,3,7,6.110589027404785,valid
96,50,3,8,5.220519542694092,train
97,50,3,8,5.600162029266357,test
98,50,3,8,5.6677350997924805,valid
99,50,3,9,5.165042877197266,train
100,50,3,9,5.6093902587890625,test
101,50,3,9,5.686355113983154,valid
102,50,3,10,5.210854530334473,train
103,50,3,10,5.691086769104004,test
104,50,3,10,5.772248268127441,valid
105,50,3,11,5.314034938812256,train
106,50,3,11,5.829357624053955,test
107,50,3,11,5.938234329223633,valid
108,100,3,0,43.1899528503418,train
109,100,3,0,43.15506362915039,test
