,k,n,i,perplexity,type
0,10,1,0,19.87662124633789,train
1,10,1,0,19.902563095092773,test
2,10,1,0,19.91859245300293,valid
3,10,1,1,13.102596282958984,train
4,10,1,1,13.147514343261719,test
5,10,1,1,13.036330223083496,valid
6,10,1,2,10.682080268859863,train
7,10,1,2,10.677976608276367,test
8,10,1,2,10.710539817810059,valid
9,10,1,3,10.721639633178711,train
10,10,1,3,10.719206809997559,test
11,10,1,3,10.746472358703613,valid
12,10,1,4,10.705209732055664,train
13,10,1,4,10.699491500854492,test
14,10,1,4,10.732022285461426,valid
15,10,1,5,10.630990982055664,train
16,10,1,5,10.622122764587402,test
17,10,1,5,10.661593437194824,valid
18,10,1,6,10.625093460083008,train
19,10,1,6,10.616692543029785,test
20,10,1,6,10.655021667480469,valid
21,10,1,7,10.624300956726074,train
22,10,1,7,10.615873336791992,test
23,10,1,7,10.652815818786621,valid
24,10,1,8,10.66321849822998,train
25,10,1,8,10.657086372375488,test
26,10,1,8,10.69257640838623,valid
27,10,1,9,10.628907203674316,train
28,10,1,9,10.620625495910645,test
29,10,1,9,10.65673542022705,valid
30,10,1,10,10.629650115966797,train
31,10,1,10,10.621672630310059,test
32,10,1,10,10.657126426696777,valid
33,10,1,11,10.62832260131836,train
34,10,1,11,10.618387222290039,test
35,10,1,11,10.662858963012695,valid
36,25,1,0,23.033891677856445,train
37,25,1,0,22.78914451599121,test
38,25,1,0,23.25911521911621,valid
39,25,1,1,14.880402565002441,train
40,25,1,1,14.90697956085205,test
41,25,1,1,14.884346961975098,valid
42,25,1,2,13.48254108428955,train
43,25,1,2,13.500893592834473,test
44,25,1,2,13.503678321838379,valid
45,25,1,3,13.454909324645996,train
46,25,1,3,13.472738265991211,test
47,25,1,3,13.477768898010254,valid
48,25,1,4,13.427244186401367,train
49,25,1,4,13.446105003356934,test
50,25,1,4,13.450016975402832,valid
51,25,1,5,13.412863731384277,train
52,25,1,5,13.434240341186523,test
53,25,1,5,13.433316230773926,valid
54,25,1,6,13.376874923706055,train
55,25,1,6,13.388195991516113,test
56,25,1,6,13.405584335327148,valid
57,25,1,7,13.37668228149414,train
58,25,1,7,13.3857421875,test
59,25,1,7,13.406275749206543,valid
60,25,1,8,13.42475414276123,train
61,25,1,8,13.439726829528809,test
62,25,1,8,13.450005531311035,valid
63,25,1,9,13.386313438415527,train
64,25,1,9,13.397050857543945,test
65,25,1,9,13.411471366882324,valid
66,25,1,10,13.38003158569336,train
67,25,1,10,13.389846801757812,test
68,25,1,10,13.412927627563477,valid
69,25,1,11,13.383017539978027,train
70,25,1,11,13.388437271118164,test
71,25,1,11,13.403204917907715,valid
72,50,1,0,27.397653579711914,train
73,50,1,0,27.52965545654297,test
74,50,1,0,27.53934669494629,valid
75,50,1,1,21.03325080871582,train
76,50,1,1,20.893842697143555,test
77,50,1,1,20.93354034423828,valid
78,50,1,2,17.392210006713867,train
79,50,1,2,17.279521942138672,test
80,50,1,2,17.403987884521484,valid
81,50,1,3,17.34123992919922,train
82,50,1,3,17.222227096557617,test
83,50,1,3,17.357973098754883,valid
84,50,1,4,17.358224868774414,train
85,50,1,4,17.245311737060547,test
86,50,1,4,17.368083953857422,valid
87,50,1,5,17.27519416809082,train
88,50,1,5,17.157087326049805,test
89,50,1,5,17.289331436157227,valid
90,50,1,6,17.270854949951172,train
91,50,1,6,17.15188217163086,test
92,50,1,6,17.28536605834961,valid
93,50,1,7,17.278484344482422,train
94,50,1,7,17.164337158203125,test
95,50,1,7,17.286285400390625,valid
96,50,1,8,17.302640914916992,train
97,50,1,8,17.185243606567383,test
98,50,1,8,17.322542190551758,valid
99,50,1,9,17.274560928344727,train
100,50,1,9,17.152103424072266,test
101,50,1,9,17.285131454467773,valid
102,50,1,10,17.274131774902344,train
103,50,1,10,17.15222930908203,test
104,50,1,10,17.287879943847656,valid
105,50,1,11,17.280961990356445,train
106,50,1,11,17.152488708496094,test
107,50,1,11,17.291418075561523,valid
108,100,1,0,47.47795104980469,train
109,100,1,0,47.52088928222656,test
110,100,1,0,47.29009246826172,valid
111,100,1,1,36.08075714111328,train
112,100,1,1,35.66492462158203,test
113,100,1,1,36.603206634521484,valid
114,100,1,2,23.991336822509766,train
115,100,1,2,23.89103126525879,test
116,100,1,2,23.854877471923828,valid
117,100,1,3,23.804603576660156,train
118,100,1,3,23.68970489501953,test
119,100,1,3,23.687692642211914,valid
120,100,1,4,23.768259048461914,train
121,100,1,4,23.6400146484375,test
122,100,1,4,23.651901245117188,valid
123,100,1,5,23.748729705810547,train
124,100,1,5,23.63617706298828,test
125,100,1,5,23.643835067749023,valid
126,100,1,6,23.75502586364746,train
127,100,1,6,23.636154174804688,test
128,100,1,6,23.6254940032959,valid
129,100,1,7,23.76551055908203,train
130,100,1,7,23.638263702392578,test
131,100,1,7,23.6441707611084,valid
132,100,1,8,23.808067321777344,train
133,100,1,8,23.69081687927246,test
134,100,1,8,23.687278747558594,valid
135,100,1,9,23.77740478515625,train
136,100,1,9,23.66132354736328,test
137,100,1,9,23.65380096435547,valid
138,100,1,10,23.756925582885742,train
139,100,1,10,23.62354850769043,test
140,100,1,10,23.640186309814453,valid
141,100,1,11,23.777082443237305,train
142,100,1,11,23.64596939086914,test
143,100,1,11,23.65304183959961,valid
144,250,1,0,70.31867980957031,train
145,250,1,0,70.53828430175781,test
146,250,1,0,70.40421295166016,valid
147,250,1,1,68.2998275756836,train
148,250,1,1,69.3002700805664,test
149,250,1,1,67.25001525878906,valid
150,250,1,2,38.25364685058594,train
151,250,1,2,38.6020622253418,test
152,250,1,2,38.37981033325195,valid
153,250,1,3,38.08195495605469,train
154,250,1,3,38.43236541748047,test
155,250,1,3,38.18904495239258,valid
156,250,1,4,37.88100051879883,train
157,250,1,4,38.233551025390625,test
158,250,1,4,38.00659942626953,valid
159,250,1,5,37.84584426879883,train
160,250,1,5,38.219322204589844,test
161,250,1,5,37.93413543701172,valid
162,250,1,6,37.8768424987793,train
163,250,1,6,38.25252151489258,test
164,250,1,6,37.97582244873047,valid
165,250,1,7,37.931087493896484,train
166,250,1,7,38.278499603271484,test
167,250,1,7,37.97285842895508,valid
168,250,1,8,37.98101806640625,train
169,250,1,8,38.3519401550293,test
170,250,1,8,38.09513854980469,valid
171,250,1,9,37.85614013671875,train
172,250,1,9,38.231666564941406,test
173,250,1,9,37.95368576049805,valid
174,250,1,10,37.88266372680664,train
175,250,1,10,38.25436782836914,test
176,250,1,10,37.99625015258789,valid
177,250,1,11,37.91410446166992,train
178,250,1,11,38.27629852294922,test
179,250,1,11,37.99724197387695,valid
180,500,1,0,105.3640365600586,train
181,500,1,0,105.80657958984375,test
182,500,1,0,104.97989654541016,valid
183,500,1,1,104.08440399169922,train
184,500,1,1,104.04161834716797,test
185,500,1,1,104.55224609375,valid
186,500,1,2,56.57558822631836,train
187,500,1,2,56.96162033081055,test
188,500,1,2,56.95235824584961,valid
189,500,1,3,56.56637191772461,train
190,500,1,3,56.89497375488281,test
191,500,1,3,56.973819732666016,valid
192,500,1,4,56.186824798583984,train
193,500,1,4,56.584434509277344,test
194,500,1,4,56.600669860839844,valid
195,500,1,5,55.98352813720703,train
196,500,1,5,56.37995910644531,test
197,500,1,5,56.39369583129883,valid
198,500,1,6,56.02956771850586,train
199,500,1,6,56.48388671875,test
200,500,1,6,56.40687561035156,valid
201,500,1,7,56.15929412841797,train
202,500,1,7,56.52280807495117,test
203,500,1,7,56.46009063720703,valid
204,500,1,8,56.135353088378906,train
205,500,1,8,56.54164123535156,test
206,500,1,8,56.535865783691406,valid
207,500,1,9,55.98201370239258,train
208,500,1,9,56.37068176269531,test
209,500,1,9,56.368370056152344,valid
210,500,1,10,56.051292419433594,train
211,500,1,10,56.45038604736328,test
212,500,1,10,56.402008056640625,valid
213,500,1,11,56.13763427734375,train
214,500,1,11,56.61150360107422,test
215,500,1,11,56.52547836303711,valid
216,1000,1,0,172.69627380371094,train
217,1000,1,0,173.04286193847656,test
218,1000,1,0,173.9429168701172,valid
219,1000,1,1,171.87417602539062,train
220,1000,1,1,170.35092163085938,test
221,1000,1,1,173.18356323242188,valid
222,1000,1,2,84.76178741455078,train
223,1000,1,2,84.49058532714844,test
224,1000,1,2,84.41756439208984,valid
225,1000,1,3,83.71028137207031,train
226,1000,1,3,83.64954376220703,test
227,1000,1,3,83.42459869384766,valid
228,1000,1,4,82.72016906738281,train
229,1000,1,4,82.57075500488281,test
230,1000,1,4,82.48644256591797,valid
231,1000,1,5,82.44901275634766,train
232,1000,1,5,82.26612091064453,test
233,1000,1,5,82.12254333496094,valid
234,1000,1,6,82.5702896118164,train
235,1000,1,6,82.31747436523438,test
236,1000,1,6,82.3441390991211,valid
237,1000,1,7,82.7569808959961,train
238,1000,1,7,82.69398498535156,test
239,1000,1,7,82.4779052734375,valid
240,1000,1,8,82.78504943847656,train
241,1000,1,8,82.62592315673828,test
242,1000,1,8,82.54401397705078,valid
243,1000,1,9,82.451904296875,train
244,1000,1,9,82.30585479736328,test
245,1000,1,9,82.14151763916016,valid
246,1000,1,10,82.56835174560547,train
247,1000,1,10,82.2607650756836,test
248,1000,1,10,82.21466064453125,valid
249,1000,1,11,82.78824615478516,train
250,1000,1,11,82.7276611328125,test
251,1000,1,11,82.41411590576172,valid
252,2000,1,0,275.6677551269531,train
253,2000,1,0,275.2276611328125,test
254,2000,1,0,278.66497802734375,valid
255,2000,1,1,276.4606628417969,train
256,2000,1,1,278.664794921875,test
257,2000,1,1,275.55426025390625,valid
258,2000,1,2,135.4129638671875,train
259,2000,1,2,133.8529510498047,test
260,2000,1,2,134.38356018066406,valid
261,2000,1,3,130.13702392578125,train
262,2000,1,3,128.49488830566406,test
263,2000,1,3,128.16586303710938,valid
264,2000,1,4,125.12903594970703,train
265,2000,1,4,123.71267700195312,test
266,2000,1,4,123.67567443847656,valid
267,2000,1,5,124.95218658447266,train
268,2000,1,5,123.44163513183594,test
269,2000,1,5,123.25437927246094,valid
270,2000,1,6,125.28885650634766,train
271,2000,1,6,123.59165954589844,test
272,2000,1,6,123.71263885498047,valid
273,2000,1,7,125.87751770019531,train
274,2000,1,7,124.34722137451172,test
275,2000,1,7,123.8070068359375,valid
276,2000,1,8,124.87349700927734,train
277,2000,1,8,123.49549865722656,test
278,2000,1,8,123.36238098144531,valid
279,2000,1,9,124.96891784667969,train
280,2000,1,9,123.71668243408203,test
281,2000,1,9,123.2274169921875,valid
282,2000,1,10,125.23238372802734,train
283,2000,1,10,123.90148162841797,test
284,2000,1,10,123.67420959472656,valid
285,2000,1,11,125.85401153564453,train
286,2000,1,11,124.63105010986328,test
287,2000,1,11,124.18864440917969,valid
288,5000,1,0,528.02978515625,train
289,5000,1,0,522.3139038085938,test
290,5000,1,0,526.9373779296875,valid
291,5000,1,1,497.8663635253906,train
292,5000,1,1,495.7373352050781,test
293,5000,1,1,497.02587890625,valid
294,5000,1,2,247.8279571533203,train
295,5000,1,2,241.7955780029297,test
296,5000,1,2,242.89654541015625,valid
297,5000,1,3,232.64027404785156,train
298,5000,1,3,225.46469116210938,test
299,5000,1,3,225.26513671875,valid
300,5000,1,4,219.1558074951172,train
301,5000,1,4,212.75552368164062,test
